target_snapshot_id,target_v1_merchant,target_v1_price,candidate_merchant,candidate_order_id,snapshot_id,snapshot_started_at,is_target_snapshot,exact_order_present,exact_order_price,exact_amount_ok,exact_payment_ok,exact_quality_ok,exact_eligible,same_merchant_present,same_merchant_order_id,same_merchant_price,same_merchant_eligible,replay_best_order_id,replay_best_merchant_id,replay_best_merchant,replay_best_price,candidate_is_replay_best,same_merchant_is_replay_best
43,azahov,86.8,ДжинТоник,2099583120652234752,40,2026-09-14 23:53:58.649869+04:00,False,False,,False,False,False,False,True,2099525221054939136,91.0,True,2098374172531613696,s925f223f28d44c81bde659fb22ea41a1,Natali.Coins,86.45,False,False
43,azahov,86.8,ДжинТоник,2099583120652234752,41,2026-09-14 23:56:58.650817+04:00,False,False,,False,False,False,False,True,2099525221054939136,91.0,True,2095535377486086144,sf7fb675c5eb84ab5bb4a20f3d5410450,TIDEHUNTER,87.35,False,False
43,azahov,86.8,ДжинТоник,2099583120652234752,42,2026-09-14 23:59:58.651725+04:00,False,False,,False,False,False,False,True,2099525221054939136,91.0,True,2088688874301616128,s2992bf6d637f4609b9f8fd4d0b0e2fed,kryptoNal,86.7,False,False
43,azahov,86.8,ДжинТоник,2099583120652234752,43,2026-09-15 00:02:58.652475+04:00,True,True,86.0,True,True,True,True,True,2099583120652234752,86.0,True,2099583120652234752,s67274030fff8438e9dbccb2187f44266,ДжинТоник,86.0,True,True
43,azahov,86.8,ДжинТоник,2099583120652234752,44,2026-09-15 00:05:58.653579+04:00,False,False,,False,False,False,False,True,2099525221054939136,91.0,True,2095535377486086144,sf7fb675c5eb84ab5bb4a20f3d5410450,TIDEHUNTER,87.35,False,False
43,azahov,86.8,ДжинТоник,2099583120652234752,45,2026-09-15 00:08:58.654433+04:00,False,True,86.6,False,True,True,False,True,2099583120652234752,86.6,False,2086895678564343808,sd50e2bf529324c86a80179a4bd84cf4a,AlexoCrypt,86.78,False,False
43,azahov,86.8,ДжинТоник,2099583120652234752,46,2026-09-15 00:11:58.655370+04:00,False,True,86.6,False,True,True,False,True,2099583120652234752,86.6,False,2099578437536841728,s0a5ca6649257469c889fdb9c42a47776,__Atlantis__,86.6,False,False
88,Easy-money,86.15,CRYPSTER,2049194026739073024,85,2026-09-15 02:08:58.691345+04:00,False,True,86.1,True,True,True,True,True,2049194026739073024,86.1,True,2049194026739073024,s5c8f60155d8f4fe39377e83c76ce86be,CRYPSTER,86.1,True,True
88,Easy-money,86.15,CRYPSTER,2049194026739073024,86,2026-09-15 02:11:58.692411+04:00,False,True,86.1,True,True,True,True,True,2049194026739073024,86.1,True,2049194026739073024,s5c8f60155d8f4fe39377e83c76ce86be,CRYPSTER,86.1,True,True
88,Easy-money,86.15,CRYPSTER,2049194026739073024,87,2026-09-15 02:14:58.693397+04:00,False,True,85.9,True,True,True,True,True,2049194026739073024,85.9,True,2049194026739073024,s5c8f60155d8f4fe39377e83c76ce86be,CRYPSTER,85.9,True,True
88,Easy-money,86.15,CRYPSTER,2049194026739073024,88,2026-09-15 02:17:58.694392+04:00,True,True,85.9,True,True,True,True,True,2049194026739073024,85.9,True,2049194026739073024,s5c8f60155d8f4fe39377e83c76ce86be,CRYPSTER,85.9,True,True
88,Easy-money,86.15,CRYPSTER,2049194026739073024,89,2026-09-15 02:20:58.695980+04:00,False,False,,False,False,False,False,False,,,False,2099361910925557760,s1d22f552a352436ba988a616a1399065,Easy-money,86.15,False,False
88,Easy-money,86.15,CRYPSTER,2049194026739073024,90,2026-09-15 02:23:58.697349+04:00,False,False,,False,False,False,False,False,,,False,2099361910925557760,s1d22f552a352436ba988a616a1399065,Easy-money,85.95,False,False
88,Easy-money,86.15,CRYPSTER,2049194026739073024,91,2026-09-15 02:26:58.698258+04:00,False,False,,False,False,False,False,False,,,False,2099361910925557760,s1d22f552a352436ba988a616a1399065,Easy-money,85.95,False,False
222,LOTA_SS,85.97,numonov,2066540965629648896,219,2026-09-15 08:50:58.824754+04:00,False,True,85.92,True,True,True,True,True,2066540965629648896,85.92,True,2066540965629648896,sd5d5dcaf594648b8b7588aea8c1a889d,numonov,85.92,True,True
222,LOTA_SS,85.97,numonov,2066540965629648896,220,2026-09-15 08:53:58.825650+04:00,False,True,85.92,True,True,True,True,True,2066540965629648896,85.92,True,2066540965629648896,sd5d5dcaf594648b8b7588aea8c1a889d,numonov,85.92,True,True
222,LOTA_SS,85.97,numonov,2066540965629648896,221,2026-09-15 08:56:58.826752+04:00,False,True,85.92,True,True,True,True,True,2066540965629648896,85.92,True,2066540965629648896,sd5d5dcaf594648b8b7588aea8c1a889d,numonov,85.92,True,True
222,LOTA_SS,85.97,numonov,2066540965629648896,222,2026-09-15 08:59:58.827899+04:00,True,True,85.92,True,True,True,True,True,2066540965629648896,85.92,True,2066540965629648896,sd5d5dcaf594648b8b7588aea8c1a889d,numonov,85.92,True,True
222,LOTA_SS,85.97,numonov,2066540965629648896,223,2026-09-15 09:02:58.828888+04:00,False,False,,False,False,False,False,False,,,False,2099720579796557824,saf2219f7f09c46ae90e9827480fed576,МаниГерл,85.94,False,False
222,LOTA_SS,85.97,numonov,2066540965629648896,224,2026-09-15 09:05:58.829985+04:00,False,False,,False,False,False,False,False,,,False,2099720579796557824,saf2219f7f09c46ae90e9827480fed576,МаниГерл,85.94,False,False
222,LOTA_SS,85.97,numonov,2066540965629648896,225,2026-09-15 09:08:58.830988+04:00,False,False,,False,False,False,False,False,,,False,2099720579796557824,saf2219f7f09c46ae90e9827480fed576,МаниГерл,85.94,False,False
